id,lat,lon,name,street,zip_code,city
21627414,53.5207517,10.2770653,Westsee Palast,,,
25745452,53.6080733,10.1164404,Schweinske,August-Krogmann-Straße 25,22159,Hamburg
29262146,53.3989587,10.1852546,Zollenspieker Fährhaus,Zollenspieker-Hauptdeich 141,21037,Hamburg
55104007,53.6067274,9.9030378,Block House,,,
69150516,53.6476044,10.1642128,Block House,Groten Hoff 12,22359,Hamburg
103602223,53.7058481,10.2517314,Glantz & Gloria,Hamburger Straße 2b,22941,Delingsdorf
170780405,53.5805153,9.9055684,Das Bauernhaus,Nansenstraße 82,,
244134270,53.463016,9.9815331,Oktober Harburg,Schloßmühlendamm 23,21073,Hamburg
245564414,53.4622481,9.9819453,Hünkar,,,
252537944,53.4861811,10.2134134,Casa Vecchia,,,
253398267,53.5394918,10.1040249,Schweinske,Möllner Landstraße 2,22111,Hamburg
253659932,53.5817607,10.0633549,Taverna Metaxa,Straßburger Straße 23,22049,Hamburg
254446740,53.6696493,10.1429076,La Rucola,Volksdorfer Damm 188,22359,Hamburg
256044321,53.5505024,9.9809707,Paulaners,Großneumarkt 1,20459,Hamburg
258521580,53.5636292,10.0333115,Spicy - Hotpot & Hunan cuisine 辣师傅,Lübecker Straße 133,22087,Hamburg
258521618,53.5610317,10.0312569,Schweinske Hohenfelde,Lübecker Straße 84,22087,Hamburg
258527808,53.5715814,10.0699098,BLOCK HOUSE,Schloßstraße 48,,
258962008,53.5857798,10.0449119,LüttLiv,Maurienstraße 19,22305,Hamburg
261041923,53.5850016,10.0450945,T.R.U.D.E.,Maurienstraße 13,22305,Hamburg
263906880,53.6952819,9.8509227,Zur Wulfsmühle,Mühlenstraße 95,25499,Tangstedt
266573365,53.5700194,10.0768267,Coopers Wirtshaus Wandsbek,,,
266671332,53.5749593,9.8472885,Olympiade,,,
267622930,53.549477,9.9274846,Ethio,Rothestraße 38,22765,Hamburg
267623160,53.5475906,9.9292942,Trattoria Toscana,Holländische Reihe 25,22765,Hamburg
267624203,53.5512302,9.9307274,marta,Spritzenplatz 4,22765,Hamburg
267626221,53.5609384,9.963111,Olympisches Feuer,Schulterblatt 36,20357,Hamburg
270901000,53.6603171,9.7385467,,,,
271393344,53.5351344,10.0415824,Blaue Adria,Marckmannstraße 74,20539,Hamburg
272717405,53.5439736,9.8415381,Casino,,,
272717465,53.5424727,9.8440744,Marché,,,
272719780,53.5447527,9.8383286,Kantine,,,
272723510,53.5418369,9.8374524,Bistro,,,
273425544,53.5815574,9.7635383,Messologi,,,
274262342,53.5028763,10.1930725,Rindocks,Lohbrügger Landstraße 119,21031,Hamburg
274349224,53.5557185,9.9916858,Haerlin,Neuer Jungfernstieg 9-14,20354,Hamburg
274490591,53.4717539,9.8631619,Merrano,Cuxhavener Straße 292,21149,Hamburg
274951874,53.469024,10.2778372,Najis Mittelmeer Bahnhof,,,
277050398,53.5514359,9.9809243,Picolo Paradiso,Brüderstraße 27,,
277504583,53.5447491,10.0895845,Restaurant Adria,Letzter Heller 21,22111,Hamburg
277790194,53.5966915,10.0435393,Orchideen Palast,Fuhlsbüttler Straße 236,22307,Hamburg
277800972,53.6496648,10.1176109,Maurizio,Berner Weg 31,22393,Hamburg
278487889,53.5977583,10.0428056,Kamiros,Fuhlsbüttler Straße 256,22307,Hamburg
280699564,53.5610678,9.9675684,Erikas Eck,Sternstraße 98,20357,Hamburg
280699565,53.5589306,9.9645671,La Sepia,Neuer Pferdemarkt 16,20359,Hamburg
280702772,53.5624282,9.9634528,Pamukkale Köz,Susannenstraße 35,20357,Hamburg
280702922,53.5617024,9.9648113,Souperia,Bartelsstraße 21,20357,Hamburg
280702925,53.5536802,9.9301419,Schanzenstern Bio-Restaurant,Kleine Rainstraße 24,22765,Hamburg
280709543,53.5593936,9.9645183,Hatari,Schanzenstraße 4,20357,Hamburg
280740265,53.5597713,9.9639605,Asia House,Schulterblatt 10,20357,Hamburg
280944537,53.6605511,9.8012087,Elena,Fahltskamp 11,25421,Pinneberg
282221637,53.6942525,10.3241986,Serways,,,
282506264,53.5013399,10.07993,Bamboo,,,
285129967,53.4870244,10.0163515,Sohre,,,
286289546,53.4580638,9.9676249,Schweinske Harburg-Eißendorf,Eißendorfer Straße 95,21073,Hamburg
286450954,53.4602015,9.9757022,Viet No1,,21073,
286660842,53.5728594,10.0635049,China-Restaurant Ming Dynastie,,,
288309550,53.5656295,9.9852309,Mensa Blattwerk,,,
288309624,53.565001,9.9869465,Gran Sasso,Schlüterstraße 12,,Hamburg
288513234,53.4179925,10.1986781,Schümanns Gasthaus,,,
