id,lat,lon,name,street,zip_code,city
273204660,53.5448551,9.8375502,Aramark,,,
276951468,53.5471272,10.0554074,Frischemarkt Wang,Süderstraße 314,20537,Hamburg
277790179,53.5976677,10.0422162,Spätkauf in der Fuhle,Fuhlsbüttler Straße 267,22307,Hamburg
281529048,53.5058495,9.9927918,Ersa Market,,,
292896819,53.5809571,9.9573749,Kiosk Industry,,,
321266832,53.7009207,10.0276856,Frisch vom Bauernhof,,,
393186449,53.5747695,9.9511859,Sukhothai Asia Markt,Heußweg 18,,
408799600,53.5399242,10.0448966,Afghan Plaza,Ausschläger Billdeich 16,20539,Hamburg
447805045,53.4688765,10.279973,Frischmarkt,,,
452998455,53.5638426,9.9656972,ServiceStore DB,Dänenweg 1,20357,Hamburg
469082314,53.5899017,9.918739,ServiceStore DB,,,
482826687,53.5583199,9.9399046,Spitzenmarkt Ihr Kaufmann,,,
504962645,53.5540615,9.933141,Fatis Corner,,,Hamburg
627571047,53.6699497,10.2359413,Hypermarkt Asiatische Spezialitäten,,,
635274730,53.5160223,9.9856134,Black Cherry,,,
725581989,53.5528678,10.0155159,Baba International,,,
800486723,53.5762638,10.0231177,tiptop Getränkemarkt,,,
871936034,53.5727477,10.1054037,REWE To Go,,,
881891148,53.5682652,10.0598759,Star Asian Store,,,
946475310,53.5594739,10.0542097,Bioladen am Hammer Park,Moorende 31,20535,Hamburg
957871719,53.6189728,9.950761,Nostalgie. Polnische Spezialitäten,Tibarg 1a,22459,Hamburg
976181732,53.6023543,10.1540208,Galeria Rahlstedt,,,
976181757,53.603392,10.1544446,Lederwaren Niederstadt,Rahlstedter Bahnhofstraße 14,22143,Hamburg
977652416,53.6042609,9.9996609,Tante Annas Laden,Alsterdorfer Straße 190,22297,Hamburg
982699802,53.5680043,9.8890414,Kiosk&Backshop,,,
983252298,53.4568519,9.9690175,Vitamin-Ecke,,,
983773762,53.6290062,10.1505531,LOTTO TOTO,,,
1094036322,53.5464112,9.9457007,Frischemarkt Gökpinar,Schleestraße 6,22767,Hamburg
1094982736,53.6727647,10.220215,,,,
1094982739,53.6778934,10.2129291,,,,
1169719784,53.5601152,10.0143264,Feinkost Läufer,Lange Reihe 117,20099,Hamburg
1304569168,53.6491746,10.0169815,U-Store,,,
1312453359,53.5207345,10.0083181,ORUC,,,
1315959329,53.6330311,10.0546356,Hamburger Hofladen,Tornberg 37,22337,Hamburg
1323888884,53.5584529,9.971755,Moin Karo - Bioladen,Marktstraße 119,20357,Hamburg
1400062057,53.5588462,9.9663078,Tschiggys Bubblegum Art Tattoo,,,
1452779237,53.4610143,9.9814131,Reformhaus Fellisch,Hölertwiete 4,21073,Hamburg
1482107948,53.5591789,9.8857008,ServiceStore DB,,,
1486152886,53.7376236,10.1972612,,,,
1562338800,53.5826831,9.966422,Monger Store & Deli,Wrangelstraße 100,20253,Hamburg
1573885554,53.5648548,9.9479356,Ebru Markt,,,
1613188119,53.5595478,9.8813442,Natrlich-Naturkost Sass,Waitzstraße 32,22607,Hamburg
1807343726,53.6071906,10.1181674,U-Store,,,
1855127661,53.4565806,9.9595269,Bio Specials & Kaffee,Eißendorfer Straße 163,21073,Hamburg
1911665652,53.4357766,9.9788527,Back und Kios 55,,,
1923916812,53.574226,9.846977,Fruchthaus Osdorf,Rugenbarg 12a,22549,Hamburg
1970261331,53.550598,10.0044757,Yuan Ye,Bugenhagenstraße 5,20095,
2019926829,53.4730605,9.8543895,Dasdemir Markt,,,
2069413126,53.5874787,10.0639813,Al Tat Market,Tondernstraße 19,22049,Hamburg
2070287814,53.554644,9.9575022,Kiosk Bezirk 67,,,
2087350973,53.5054765,10.0897652,Aral,,,
2088614266,53.6176494,10.089393,Welt Laden Bramfeld,Berner Chaussee 58,22175,
2194492867,53.6002913,10.0504862,Ihr Backshop,,,
2264761570,53.5413217,10.101286,Pamir,Schiffbeker Weg 11,22111,Hamburg
2322363338,53.4881842,10.2089474,Angier Gewürze aus aller Welt,,,
2341650880,53.5912462,10.0023692,Vitalien,,,
2341650881,53.592128,10.0022951,Win Asia Markt,,,
2456999677,53.5706111,10.086461,,,,
2461998726,53.5858157,10.0074452,Flink Lebensmittel,,,
2477492253,53.4189855,10.2705658,Süßer Hofladen,,,
2575893701,53.55525,10.0401112,Feinkost Sak,,,
