id,lat,lon,name,street,zip_code,city
103734459,53.7075254,10.2528785,Freiwillige Feuerwehr Delingsdorf,Schulstraße 3,22941,Delingsdorf
534817666,53.6766466,9.8479638,Freiwillige Feuerwehr Tangstedt,,,
534889839,53.4204166,10.0188024,Freiwillige Feuerwehr Meckelfeld,Rampe 14,21217,Seevetal
784008746,53.4858166,10.3167593,Freiwillige Feuerwehr Kröppelshagen-Fahrendorf,Schulweg 1,21529,Kröppelshagen-Fahrendorf
1357946422,53.5622546,10.2080484,Freiwillige Feuerwehr Willinghusen,,,
1393759143,53.5566959,10.1018735,Freiwillige Feuerwehr Billstedt-Horn,,,
1431267820,53.5459503,10.2821981,Freiwillige Feuerwehr Ohe,Hoibeken 6,21465,Reinbek
1454502540,53.7155629,10.2139317,Freiwillige Feuerwehr Klein Hansdorf / Timmerhorn,,,
1657200418,53.4294937,9.9026771,Freiwillige Feuerwehr Vahrendorf-Sottorf,Harburger Straße 39,21224,Rosengarten
1665807694,53.514816,10.1600726,Freiwillige Feuerwehr Boberg,,,
2113896834,53.4112123,9.9615477,Freiwillige Feuerwehr Beckedorf-Metzendorf,Wittenberger Weg 12,21218,Seevetal
2113927947,53.4125579,10.0655155,Freiwillige Feuerwehr Hörsten,,,
2135247122,53.5104394,9.730394,Freiwillige Feuerwehr Estebrügge,Estebrügger Straße 117,21635,Jork
2135257720,53.5094181,9.7316904,Freiwillige Feuerwehr Moorende,Moorende 49a,21635,Jork
2146415729,53.6422391,10.2183552,Freiwillige Feuerwehr Ahrensburg,,,
2170750917,53.5402602,10.1693215,Freiwillige Feuerwehr Oststeinbek,Stormarnstraße 2,22113,Oststeinbek
2327573513,53.5314391,10.260456,Freiwillige Feuerwehr Schönningstedt,Oher Straße 18,21465,Reinbek
2506502771,53.7315168,10.2610099,Freiwillige Feuerwehr Bargteheide,,,
4575065887,53.4070188,10.0153281,Ortsfeuerwehr Glüsingen,,,
5520263853,53.5570124,10.1020515,Freiwillige Feuerwehr Berliner Tor,,,
7414798633,53.5893782,10.2388357,Freiwillige Feuerwehr Stellau,Am Spritzenhaus 2,22885,Barsbüttel
7581339088,53.7304306,9.7826412,Freiwillige Feuerwehr Ellerhoop,Hurst-Green-Platz 1,25373,Ellerhoop
9741363417,53.7081592,10.0255069,Freiwillige Feuerwehr Harksheide,Schützenwall 47,,
11239842871,53.4774054,10.2856524,Freiwillige Feuerwehr Börnsen,,,
11239855373,53.5152275,10.2924113,Freiwillige Feuerwehr Wohltorf,,,
11239890325,53.525194,10.3090835,Freiwillige Feuerwehr Aumühle,,,
