id,lat,lon,name,street,zip_code,city
277932850,53.6487772,10.0128702,Kieser Training,Krohnstieg 41,22415,Hamburg
277932851,53.6536763,10.0896006,Kieser Training,Kritenbarg 4,22391,Hamburg
277932852,53.5942372,10.0006659,Kieser Training,Winterhuder Marktplatz 6-7a,22299,Hamburg
277932870,53.4815074,10.2001724,Kieser Training,Weidenbaumsweg 139,21035,Hamburg
304490927,53.5938461,9.9241167,McFit,,,
312427995,53.4627635,9.9834819,JOHN REED Fitness,Am Werder 1,21073,Hamburg
361140358,53.5769159,9.950748,Kieser Training,Heußweg 37d,20255,Hamburg
778236536,53.5733626,9.9402729,McFIT,Kieler Straße 147,22769,Hamburg
831971781,53.5750745,10.0896165,Eisenhauer Training,Am Neumarkt 30,22041,Hamburg
928371756,53.5496609,10.0657302,McFit,Eiffestraße 664,20537,Hamburg
1337748595,53.6779251,10.1491849,Elan,,,
1589271234,53.5619181,9.9190842,Holmes Place,,,
1613188287,53.5595898,9.8826147,25 Minutes,,,
1708446947,53.5512307,9.9385573,Lady Fitness Center,Schillerstraße 44,22767,
1912192520,53.5547917,9.9807361,25Minutes,,,
2144446964,53.557723,9.9853068,ELB GYM,Gorch-Fock-Wall 3,20354,Hamburg
2268142634,53.5557365,10.0233955,Hochschulsport Hamburg,,,
2274544112,53.4725521,9.8492001,Mrs. Sporty,,,
2652360954,53.5516753,9.9435666,FitX,Große Bergstraße 156,,
2664230567,53.4809859,10.2071131,Well You,Curslacker Neuer Deich 44,21029,Hamburg
2672107964,53.4602701,9.9761521,Figurella - Fitness für Frauen,,,
2867411651,53.579415,9.9455298,Animo Studio,Müggenkampstraße 1,20257,Hamburg
2909009109,53.5936039,9.9874776,youpila,,,
3062745803,53.5547506,9.9825407,OHANA,Bäckerbreitergang 14,20355,
3453832163,53.581658,9.9726787,VIMODROM Hamburg Eppendorf,Hoheluftchaussee 60,20253,Hamburg
3656262460,53.5536636,10.0037254,Fitness First,,,
3656847908,53.5516941,9.9432454,FITX,Große Bergstraße 160,22767,Hamburg
3710974980,53.6326676,10.0255994,Mrs. Sporty,Kleekamp 5,22339,Hamburg
3711772874,53.6318258,10.0059935,Kieser Training,,,
3791405160,53.7315873,10.0834823,omya,,,
3896759457,53.5575355,9.9005613,McFit,Baurstraße 2,22605,Hamburg
3933531388,53.548204,9.9873849,Fitness First,Rödingsmarkt 9,20459,Hamburg
3942090547,53.6807621,9.9999811,Schmuggel-Ladies,,,
4060461686,53.6853769,9.987345,Mrs. Sporty,,,
4062351848,53.5711217,9.960377,Mudō Werkstatt,Weidenstieg 18,,
4086544768,53.6079919,10.052494,FitX Hamburg-Steilshoop,Schwarzer Weg 28,22309,Hamburg
4111266908,53.556741,9.9669329,GORILLA GYM Hamburg,,,
4143215789,53.4729729,9.8523813,Clever Fit,,,
4293785001,53.6233394,10.0163077,FitX,Röntgenstraße 28,22335,Hamburg
4360503652,53.6826452,9.9873588,Crunch Fit Fitnessstudio,,,
4362103496,53.6247856,10.1150093,Raum für Bewegung und Stille,Pezolddamm 156,,
4396100511,53.615311,9.905461,beneFit,Hörgensweg 5,22523,Hamburg
4427661183,53.4712443,9.8620166,form-fit,Cuxhavener Straße 293b,21149,Hamburg
4451845503,53.5570445,10.0218619,VitaShape,,,
4453281366,53.5595227,9.9944017,elbgym,,,
4558787796,53.6090075,9.8416274,Fitness World,,,
4581965977,53.5955884,10.0478005,Glückspilze,Habichtstraße 124,22307,Hamburg
4585504194,53.5687912,10.0966096,Praxis Wirkner-Thiel,,,
4602711447,53.5786196,9.917562,FitX,Schnackenburgallee 43 - 45,22525,Hamburg
4639629789,53.5552337,9.9279659,SANBAO-Schule für Taichi und Qigong,,,
4659594876,53.668562,10.2468592,Villa Fit,Kaiser-Wilhelm-Allee 10,22926,Ahrensburg
4760054204,53.6038297,10.0394103,Meridian Spa,,,
4843506123,53.4591522,9.9841643,FIT/ONE Hamburg-Harburg,Lüneburger Tor 8,21073,Hamburg
4845110621,53.4597815,9.9844401,Sportspaß,,,
4845149344,53.4642302,9.9858057,EasyFitness,,,
4845152878,53.4615922,9.9850483,Trust Gym,,,
4860612046,53.562417,10.03131,McFit,,,
4937565769,53.5729339,9.9604418,Tai Chi Schule Daniel Grolle,Eppendorfer Weg 64,20259,Hamburg
4951486023,53.5569302,10.0192652,Olympic Fitness,,,
5037345747,53.4674172,9.9861659,CrossFit,Lotsestieg 6,,
5128031001,53.5749745,10.0374418,Lorenzen Training,Holsteinischer Kamp 1,22081,Hamburg
5233553017,53.4877047,10.2169946,TSG Sportzentrum Bult,,,
5262248222,53.5883082,10.0075793,On Stage Training Center,Krohnskamp 33,22301,Hamburg
5484681218,53.5577907,9.9871859,Fitness First,Gorch-Fock-Wall 1a,20354,Hamburg
5626998395,53.6330695,9.9552316,FitnessCenter-Niendorf,Krähenweg 9,22459,Hamburg
5764297924,53.5861407,10.0480097,CrossFit,,,
5825121088,53.5785773,10.0383738,BOX1.Hamburg,Hamburger Straße 181,,
5861050599,53.6023012,10.0410891,EMS Fitnessstudio fitbox,Fuhlsbüttler Straße 396,22309,Hamburg
5861133409,53.6028159,10.0456209,NAYOKi,Hartzlohplatz 17,22307,Hamburg
5899981751,53.5803677,10.042302,gymaholic.de,,,
5901418253,53.6028861,10.0165072,beneFit,Überseering 32-34,22297,Hamburg
5914861524,53.6131729,10.0749966,Körperformen,Bramfelder Chaussee 239,22177,Hamburg
6125050116,53.6500909,10.0132944,FIT/ONE Hamburg-Langenhorn,Langenhorner Markt 1-18,22415,Hamburg
6130513084,53.5633598,9.8121499,EVO,Blankeneser Landstraße 2,,
6187788955,53.5946434,9.9864836,Sporteve,,,
6189747885,53.5591194,9.9300163,Odissi Tanz Atellier,Gaußstraße 136,22765,
6208794759,53.6514954,10.0961343,25MINUTES,,,
6323071012,53.5531431,10.0022762,Body Focus,,,
6395667898,53.6681701,10.0947893,Klimmzugstangen,,,
6668054918,53.5859647,10.0331224,Hansa Yoga,Saarlandstraße 7,22303,Hamburg
6749249135,53.6787066,10.0009132,McFit,,,
