id,points_of_interest
00000000,13
01102104,3
01105113,1
01108121,1
01108123,1
01112130,1
01115134,1
01116137,1
02201201,1
02201203,2
02201204,1
02201206,1
02203208,1
02204212,1
02204213,2
02204214,3
02205216,1
02206218,1
02207219,1
02212225,1
02213226,1
03301301,1
03301306,3
03302311,1
03303313,1
03304316,2
03306318,3
03308320,1
04405409,1
04406414,4
04407417,1
04408418,1
04408420,1
04408423,1
04410426,1
04410427,2
04410429,1
04413432,2
05501501,2
05501502,1
05502506,1
05502507,1
05506514,1
05507515,1
05510518,1
05512520,1
05517525,1
05518526,3
06602603,1
07704705,1
07705706,1
