id,name,street,zip_code,lat,lon,geojson_feature_id
107194006,Eisbär,Alte Dorfstraße 1,22397,53.6949636,10.1372247,05515523
269899720,Eisliebe,Bei der Reitbahn 2,22763,53.5514939,9.9253406,02204213
287822858,Eis Warneke,,,53.585452,10.0332294,04405411
295108969,Eiscafé Valentina,Dingstätte 14,25421,53.6611647,9.7986576,0
309745429,Mio,,,53.5814656,9.9711979,03304315
370793687,Eisafé il Lago,,,53.5660008,10.0200822,04406415
372531301,Gelatoni,Neugrabener Bahnhofstraße 14,21149,53.4706393,9.8541087,07714715
376428875,Eisinsel,Steendiek 43,21129,53.5331205,9.8792625,01120141
380293528,Noris Bar,Im Alten Dorfe 23,,53.6487919,10.1644348,05517525
393205615,Jannys Eis,Berliner Straße 49,25421,53.6696228,9.7885226,0
424083165,Eis Livotto,,,53.5594764,9.9889725,01103108
425614433,Arktis Eiscafe,Cuxhavener Straße 441,21149,53.4712407,9.8318439,07714715
432489111,La Serenissima,Ifflandstraße 92,22087,53.5636129,10.023924,04407416
456390457,Eis-Café-Höft,,,53.622756,10.0842821,05507515
482157848,Eis Warneke,,,53.5543337,9.9914644,01103108
618003350,Luicella’s Ice Cream,Grindelhof 67,20146,53.5702983,9.9844821,03302311
914736874,Milk Made,,,53.5916749,9.9884135,04402404
947349391,Der Eismann,Dithmarscher Straße 28,22049,53.5781088,10.0605164,04409424
1081992009,Bacio by Testa,Blankeneser Bahnhofstraße 1,22587,53.5586282,9.8116265,02211223
1082029076,Casa del Gelato,Blankeneser Bahnhofstraße 46,22587,53.56172,9.811566,02211223
1094390199,Eiscafė Venezia,,,53.5520231,9.9307797,02204213
1106752693,Eis Pavillon,,,53.5953011,10.0434328,04410428
1137489082,Filippi Eis,Große Bergstraße 219,22767,53.5519702,9.9422802,02201204
1268553151,Kugel Dealer,Bei den St. Pauli-Landungsbrücken 10,20359,53.5454242,9.9640644,01104112
1393721528,Eiscafe Veneto,,,53.5109091,10.251303,0
1532564289,Eiscafé Venezia,Fabriciusstraße 91,,53.6018283,10.0623406,05507515
1576522459,Eiszeit,,,53.5799631,9.9434585,03301301
1605041251,Nice Cream,,,53.5858717,10.0621282,04409425
1613188203,Eisglück,,,53.5596087,9.883036,02206218
1900276311,Eis Café da Gianni,,,53.6224528,10.1651373,05518526
1912152581,Friede Freude,,,53.5519892,9.9806823,01103107
1918681286,dito café & eis,Falkenried 47,,53.5828357,9.9754174,04401401
1935146345,Kumatea,,,53.5560101,9.9903221,01103108
2023176476,Cool Kids,,,53.4711584,9.8531906,07714715
2028117000,Porto Lucia,,,53.5501964,9.979938,01103106
2074551777,Lecassia,Krüsistraße 15,22305,53.5876909,10.0455914,04410427
2115685661,Eiscafé Triboli,,,53.5572061,10.0107139,01105114
2119646665,Hadi´s Eiscafé,Manshardtstraße 111,22119,53.5592065,10.1065856,01111129
2148881586,frau meis,Fischers Allee 39,22763,53.5486571,9.9220187,02204212
2278248221,Eis Kalte Schnauze,Rugenbarg 10,22549,53.5739099,9.8468874,02209221
2318856811,Moons & Cream,,,53.5415548,9.9885122,01102103
2415698375,San Remo,Fährstraße 67,,53.5158832,9.9871689,01116137
2443163642,Jannys Eis Café,Heinrich-Christiansen-Straße 43,25421,53.6524274,9.7902647,0
2619881472,Eis Café Venezia,Schulterblatt 57,20357,53.5612872,9.9623578,02202207
2674904835,Eisbahn,,,53.559353,9.8869089,02207219
2708946610,Eis & Innig,Mühlenkamp 46,22303,53.5829872,10.0104472,04405413
2739413471,Calluna,,,53.5528045,10.0004478,01101101
2753388172,Eiscafé Calluna,Landwehr 18,,53.5619264,10.0363377,04407417
2826997291,Lazotti,,,53.4572675,9.9872703,07701702
2849917232,Eisschleckerei,Kleine Johannisstraße 4,20457,53.5497699,9.9936073,01101102
2891650401,Eisprinzessinnen,Am Rathenaupark 15,22763,53.5508349,9.9121912,02204212
2901706590,Café Vjosa,,,53.5518406,10.0017517,01101101
2919467709,Eiscafé Da Leandro,,,53.5679623,9.9641991,03301310
2926161247,Eispiraten,Mendelssohnstraße 78,22761,53.5640676,9.907872,02205216
2927135731,Dani Gelato,Hirschgraben 2,22089,53.5666263,10.0418014,05501501
2983736398,Eisbande,Bartelsstraße 7,20357,53.5613817,9.96517,02202207
3388209146,Eiscafe Venezia,Frohmestraße 29,22457,53.6337575,9.9201292,03307319
3438081485,Jannys Eis,,21035,53.48682,10.1810271,06614615
3450868947,Cafe Venezia,,,53.6052848,10.1566658,05518526
3451525458,Eis-Hille,Schiffbeker Weg 62,22119,53.5457059,10.1059673,01112130
3656263642,Eis Piazza,,,53.5519386,10.0047861,01101101
3672068811,Luicella’s Ice Cream,Osterstraße 133,20255,53.5760896,9.9502524,03301303
3686157713,Mio Eiscafe,Fuhlsbüttler Straße 155,22305,53.5921417,10.0439037,04410427
3700015239,Eiscafé Venezia,Europaallee 12,22850,53.683215,9.9874873,0
3726686321,Eis-Meier,,,53.5450614,9.970579,01104112
3756288700,Luicella’s Ice Cream,Detlev-Bremer-Straße 46,20359,53.5506495,9.9647305,01104111
3876155549,Café P5,Poppenhusenstraße 5,22305,53.5861289,10.0433996,04410427
3988908927,Luicella’s Ice Cream,Schanzenstraße 52,20357,53.5614675,9.9657889,02202207
4155893104,Giovanni L.,Hannoversche Straße 86,21079,53.4563386,9.9866023,07701702
4155915062,Langnese Happiness Station,Hannoversche Straße 86,21079,53.456264,9.9874757,07701702
4159045940,Kleines Café Krupunder,Seestraße 250,25469,53.6167435,9.867091,0
4168103282,Eisbrecher,Hannoversche Straße 86,21079,53.4569696,9.9878049,07701702
4232476628,Bueno,Schwenckestraße 56,20255,53.5780873,9.9503551,03301303
4293394394,Luicellas,Lange Reihe 113,20099,53.5598502,10.0141776,01105113
4370285053,Café Elbterassen,Övelgönne 1,,53.5444924,9.9141663,02207219
4370320680,Orogelato,,,53.5576912,10.0512517,01108122
4515066449,Eiscafe am Klopstockplatz,,,53.5477971,9.9322201,02204214
4552019369,Eisstand,,,53.4459458,9.8833447,0
4715138292,Schlecks Hamburg,Fischers Allee 78,22763,53.5524031,9.9225868,02204213
4884186621,Eis & innig,Klosterallee 102,,53.5815746,9.9799955,04401401
4944072464,Orogelato,,,53.6254985,10.1402588,05518526
4963723721,eis Hamburg,Beim Schlump 2a,20144,53.5720803,9.9778402,03303313
5007332935,Froyowelt,Dorotheenstraße 99,22301,53.5860269,10.0057251,04405413
5040714532,Joschi,,,53.5575143,9.9664201,02202207
5056117592,Eiscafé Brazil,,,53.4912152,10.2078567,06601601
5114767901,,,,53.4437499,9.8889763,0
5590823254,Bünte Kiosk (frosty icecream by mr. pink),Bünte 34,,53.4572823,9.9419083,07709710
5754871754,Eisgarten,Farkenwisch 2,22397,53.7081717,10.1087034,05514522
5795798113,Eis-Cafe Tonis Gelato,Fuhlsbüttler Straße 224,22307,53.5957193,10.0439071,04410428
5835061685,Beizini - Die Eismanufaktur,Beim Grünen Jäger 13,20359,53.5578109,9.9630362,01104110
5981377986,Moin,Venusberg 6,20459,53.5470771,9.977716,01103105
6103385599,Eisige Liebe,,,53.555035,9.9898606,01103108
6164372753,Eisbar,,22927,53.6627837,10.2841553,0
6189796612,Wilhelmsburger Eisdealer,Weimarer Straße 85,21107,53.5072064,9.9883354,01116137
6345885838,Eis Schnecke,Erdkampsweg 57,22335,53.6298925,10.0220048,04412431
6360168033,Eiscafé Dante,Bramfelder Chaussee 291,22177,53.6171116,10.077489,05507515
6376216796,Piccolino,,,53.4608849,9.9814279,07701702
6555209346,Kleine Eisbude,,,53.5459907,9.9615888,01104112
