id,points_of_interest
01101101,1
01101102,1
01102103,2
01102104,3
01103105,1
01103106,1
01104109,5
01104110,1
01104111,1
01105113,1
01108122,2
01108123,2
01108125,4
01111128,2
01111129,11
01112130,12
01114132,5
01114133,2
01115134,1
01116136,11
01116137,11
01117138,1
01120141,14
02201201,5
02201202,5
02201203,1
02201204,2
02201205,2
02201206,3
02202207,1
02203208,1
02203209,4
02203210,7
02204212,20
02204213,3
02204214,4
02205215,2
02205216,10
02205217,1
02206218,3
02207219,10
02208220,6
02209221,8
02210222,3
02211223,1
02212225,12
02213226,4
02214227,2
03301304,4
03301306,1
03301307,2
03301309,2
03301310,1
03302311,1
03302312,1
03303313,1
03303314,1
03304316,2
03305317,20
03306318,17
03307319,15
03308320,24
03309321,3
04402405,2
04403406,3
04404407,1
04405408,4
04405409,18
04406415,5
04408421,1
04408422,1
04409424,1
04409425,3
04410426,1
04410428,7
04410429,2
04411430,1
04412431,3
04413432,26
05501504,1
05502506,1
05502507,3
05502508,3
05502509,1
05503510,1
05503511,2
05504512,7
05505513,1
05506514,20
05507515,15
05508516,2
05509517,2
05511519,7
05512520,11
05516524,4
05517525,4
05518526,50
06601601,4
06602602,5
06602603,4
06604605,1
06609610,1
06610611,2
06614615,24
07701701,1
07701702,1
07704705,12
07705706,1
07706707,3
07708709,3
07709710,3
07713714,5
07714715,6
