id,points_of_interest
00000000,28
01101101,2
01101102,3
01103105,2
01103106,3
01103107,5
01103108,2
01104109,4
01104110,10
01104111,26
01104112,35
01105113,4
01105114,10
01106115,1
01106117,1
01107120,1
01108121,1
01108122,3
01108123,2
01111128,2
01111129,2
01112130,7
01114132,3
01114133,3
01116136,1
01116137,8
01120141,1
02201201,5
02201202,2
02201204,3
02201205,2
02201206,2
02202207,14
02203210,2
02204211,4
02204213,9
02204214,5
02205215,1
02205216,3
02205217,1
02206218,1
02207219,1
02208220,3
02209221,1
02212225,1
02214227,2
03301301,5
03301302,2
03301303,4
03301304,1
03301305,2
03301306,2
03301308,1
03301309,2
03301310,4
03302311,1
03302312,4
03303314,1
03304316,2
03305317,4
03306318,3
03307319,3
03308320,6
03309321,3
04401401,3
04402403,4
04402404,1
04403406,2
04404407,1
04405409,3
04405412,2
04405413,1
04406414,1
04406415,2
04407417,1
04408418,3
04408419,1
04408421,2
04408422,1
04408423,1
04409424,1
04409425,1
04410426,2
04410427,4
04410428,5
04410429,3
04412431,1
04413432,5
05501501,1
05501503,3
05501504,1
05502506,3
05502507,2
05502508,1
05502509,1
05503510,1
05504512,1
05505513,1
05506514,2
05507515,3
05508516,2
05510518,2
05511519,2
05512520,1
05514522,1
05517525,2
05518526,5
06601601,2
06602602,2
06602603,1
06603604,1
06604605,1
06605606,1
06610611,1
06614615,1
07701701,3
07701702,13
07704705,5
07709710,1
07710711,3
07713714,1
07714715,2
