id,points_of_interest
00000000,7
01101101,3
01101102,2
01102103,1
01102104,2
01103105,1
01103106,1
01103108,2
01104109,1
01104111,1
01105113,2
01105114,2
01108121,1
01108123,2
01111128,1
01111129,1
01112130,4
02202207,1
03301306,1
03301308,1
03301309,1
03303313,2
03303314,2
03305317,1
03306318,3
04404407,2
04405408,1
04405409,1
04405410,2
04407417,2
04408422,1
04409425,2
04410427,1
04410428,1
04411430,2
04412431,2
04413432,4
05501501,1
05501503,1
05501504,1
05502505,1
05502509,1
05506514,3
05515523,1
05517525,4
05518526,1
