id,name,street,zip_code,lat,lon,geojson_feature_id
258006278,My Way,,,53.5791689,10.0962791,05502508
262390793,Amers,,,53.5712359,10.1153859,05504512
267624279,Nicks,Bahrenfelder Straße 206,22765,53.5554679,9.9287402,02204211
290636389,Goldfischglas,Bartelsstraße 30,20357,53.5625379,9.9643633,02202207
300559694,Gloria,Bellealliancestraße 31-33,20259,53.5679562,9.9595521,03301307
300904873,Baradona,Bismarckstraße 95,20253,53.576307,9.9695479,03301308
348093613,Filmhauskneipe,Friedensallee 5,22765,53.5543475,9.9275899,02204213
351138166,Nostalgia Bar,Große Brunnenstraße 81,22763,53.5527507,9.923955,02204213
364138847,Oorlam,Kohlhöfen 29,20355,53.5534186,9.9798395,01103106
366994064,Musti,,,53.5980635,9.8614674,02208220
411016964,Gold Bars,,,53.5607736,10.0380855,01108121
437355075,BeerPONG BAR,Reeperbahn 102,20359,53.5497482,9.960888,01104111
448903886,Paolas,,,53.590172,9.9878885,04402404
477335654,Kiez Klause,Gerhardstraße 10,20359,53.5482002,9.9610226,01104112
477335655,Chikago Bar,Gerhardstraße 10,20359,53.5482818,9.9610223,01104112
477335657,Der blaue Engel von St. Pauli,Gerhardstraße 16,20359,53.5481137,9.9612509,01104112
490185871,Erste Liebe Bar,,,53.5492265,9.9848943,01103107
501590852,Cocktrail Bar,Schürbeker Straße 12,22087,53.5694668,10.0275389,04406415
536391118,Arcotel Rubin,Steindamm 63,20099,53.5554045,10.0158814,01105113
537516635,Bellini Bar,,,53.5575214,10.012043,01105114
544749914,del Vino,,,53.6552975,10.0935559,05511519
586217084,Downtown Bluesclub,,,53.5939934,10.0153583,04405409
592581944,El Ray,,,53.5942724,10.0164008,04405409
603248363,Caipi Colada,,,53.5727173,10.0161224,04406414
642344560,Estrilie,,,53.6207461,9.9516922,03306318
677298673,Windschirm,Hallerplatz 8,20146,53.5715458,9.9860083,03302312
706304102,Lenci´s DrinX,Rathausallee 72-76,22846,53.706985,9.9899916,0
761660789,Kopps Bar,,,53.5932594,9.9895526,04402404
778255350,Astra,,,53.5697351,9.9464713,02203209
797563657,Queen Mum,,,53.5520333,10.0178853,01105114
817651042,Dingsda,,,53.6181749,10.091964,05507515
844588934,The Chug Club,Taubenstraße 13,20359,53.5482126,9.9650197,01104112
938442575,Club Europa,Schiffbeker Weg 22,22111,53.5418412,10.1025218,01112130
957281724,Bar du Nord,Dorotheenstraße 33,22301,53.581193,10.0093063,04405413
1004006265,Blauer Peter,,,53.5512483,9.9610691,01104111
1004006273,Roschinskys,,,53.5511629,9.9610193,01104111
1004006275,20 Flight Rock,Hans-Albers-Platz 1,,53.5484273,9.960365,01104112
1004006276,Chez Lorsin,Friedrichstraße 29,,53.5481798,9.9602403,01104112
1004006286,Lunacy,,,53.5508076,9.9614461,01104111
1022509474,Komet,,,53.5475588,9.9620406,01104112
1077515423,Shisha Lounge La Vie,Bahrenfelder Straße 142,22765,53.5534066,9.9293233,02204213
1088043269,Bar Wohlzimmer,Wohlwillstraße 2,,53.55276,9.961079,01104111
