id,points_of_interest
01101101,1
01101102,1
01102104,1
01103108,2
01104109,4
01104110,3
01104111,7
01104112,6
01105113,3
01105114,8
01107119,2
01108121,1
01108122,1
01108124,3
01108127,1
01111129,2
01112130,6
01114132,1
01114133,1
01115134,1
01116136,1
01116137,7
01117138,2
01120141,5
02201201,1
02201202,1
02201204,1
02201205,1
02201206,1
02202207,4
02203208,2
02203209,1
02203210,3
02204211,1
02204213,4
02204214,1
02205215,1
02205216,3
02205217,1
02206218,1
02207219,1
02208220,2
02209221,1
02210222,1
02213226,1
03301302,1
03301303,3
03301305,1
03301306,1
03301308,1
03301309,2
03301310,2
03302311,5
03302312,1
03303313,2
03304316,3
03305317,1
03306318,2
03307319,2
03308320,1
03309321,4
04402403,1
04403406,1
04405408,1
04405409,3
04405410,2
04405413,2
04406414,1
04407417,2
04409425,3
04410426,2
04410427,1
04410428,3
04410429,4
04411430,1
04412431,1
04413432,3
05501501,1
05501504,5
05502507,1
05502508,1
05503511,1
05504512,2
05506514,1
05507515,2
05510518,1
05518526,4
06601601,1
06602602,4
06602603,1
06608609,1
06611612,1
06614615,1
07701701,1
07701702,6
07709710,3
07710711,2
07714715,1
07716717,1
