id,name,street,zip_code,lat,lon,geojson_feature_id
69450386,Ärztehaus,,,53.6481069,10.1629511,05517525
277307750,Dr. med. Jürgen R. Laubsch,,,53.641073,10.0850339,05509517
277790181,Silke Engelder,Fuhlsbüttler Straße 265,22307,53.5974792,10.0423462,04410428
277790188,H. Keyany,Fuhlsbüttler Straße 257,22307,53.5967079,10.0428576,04410428
277790189,Bernhard Nast,Fuhlsbüttler Straße 257,22307,53.5966557,10.0428861,04410428
316973426,,,,53.5882162,9.8490943,02209221
316981937,Dr. med. Mirweys Sina,,,53.5842656,9.8543904,02209221
368308193,Praxis Haddad,,,53.5141826,9.9869586,01116137
369815366,Div. Ärzte,,,53.5695571,10.1694348,0
386872637,Drobik,,,53.5349251,10.043114,01114132
388469418,Dr. med. Ralf Rüttershoff,,,53.7297341,10.2638761,0
394941154,"Gemeinschaftspraxis Dr. Böttcher, Dr. Kschowak, Dr. Strobel",,,53.5750211,9.9582998,03301305
397617962,Dr. Andrea Sörens,Schulweg 3,20259,53.5728,9.9575694,03301306
398193867,Praxis Teja H. Lensch,Lornsenstraße 124,22869,53.6091614,9.8400639,0
400696976,Niels Schlüter,Fahrenort 129,22547,53.5986382,9.8617101,02208220
410213324,Praxis am Marktplatz,Rothenburgsorter Marktplatz 1,20539,53.5338833,10.0389634,01114133
411016976,Onkologie Lerchenfeld,,,53.5694903,10.0285217,04406415
437355081,ICH Grindel,,,53.5659024,9.9819387,03302311
467064271,,Heegbarg 36,22391,53.6552664,10.093689,05511519
559721169,Dr. Stüven,,,53.4770661,10.1822371,06602602
605051977,Praxis für Psychotherapie,Kunaustraße 4a,22393,53.6532261,10.1103362,05510518
606980403,Naturheilpraxis Heinz-Peter Böttner,,,53.6493729,10.1043178,05510518
626143003,Hammersen,Moorhof 2D,22399,53.6616522,10.0854783,05511519
666320451,Allgemeinmedizin Saskia Sprenger,Wellingsbüttler Weg 115,22391,53.641296,10.0800159,05509517
674732081,Joachim Homann,Langenhorner Chaussee 657,22419,53.6784984,10.0000466,04413432
674732082,Frauenärztin Silke Hantelmann,Langenhorner Chaussee 657,22419,53.6785776,10.0000261,04413432
696858205,,,,53.4247331,9.7876113,0
761255985,Dr. Arngold,Eekhoff 5,25482,53.6586793,9.742698,0
761660596,Hausarztpraxis am Siemersplatz,Siemersplatz 3,22529,53.5993569,9.9639645,03305317
845206191,Dr. med. Albrecht Leopold,,,53.4659525,9.9622552,07710711
845208299,Dr. med. Genc Shala,,,53.4651922,9.9631522,07710711
856778154,Ärztezentrum Quickborn,Ziegenweg 4,25451,53.7365164,9.9029975,0
880392215,Die Praxis für Kinder und Jugendliche,,,53.5793012,9.9334608,03309321
888502466,Kinderarzt Kroschke und Klarczyk,Hammer Steindamm 44,22089,53.5663151,10.0565086,05501504
900583022,Hausärztliche Gemeinschaftspraxis Hummelsbütteler Markt,Hummelsbütteler Markt 3,22339,53.6426129,10.0463261,05512520
900583099,Nazeh Mahmoud,Hummelsbütteler Markt 15,22339,53.6433114,10.0464417,05512520
905085608,Praxis für HNO-Heilkunde,Zum Markt 1a,22459,53.6221296,9.9541536,03306318
905410530,Geburtshaus Hamburg,Am Felde 2,22765,53.5485031,9.9336469,02204214
920072143,Dr. Nina Augistin,Droopweg 25,20537,53.5535581,10.06258,01108125
932156568,Augenarzt Mahmoud Saadat,Hammer Steindamm 40,22089,53.5666761,10.0568499,05501504
960098116,Orthopädie Am Alten Gaswerk - Gemeinschaftspraxis,Paul-Dessau-Straße 1,,53.5637789,9.916052,02205216
966074486,docboom!,Mühlenkamp 6,,53.5800698,10.012961,04405412
983452176,Kinderarzt,,,53.6813348,9.9974081,0
1062269503,Kinderchirurgie,,,53.6359949,10.0928513,05509517
