id,points_of_interest
01101101,4
01101102,2
01102103,2
01102104,2
01103105,1
01103106,1
01103107,2
01103108,6
01104110,2
01104111,1
01105113,3
01105114,1
01106117,1
01108125,1
01116137,2
02201203,4
02201206,2
02202207,2
02203210,1
02204211,2
02204213,2
02205215,5
02205216,2
02205217,1
02206218,2
02207219,1
02209221,1
02210222,1
02211223,2
02211224,1
02214227,1
03301301,1
03301303,1
03301305,1
03301306,2
03301308,3
03301309,1
03302311,1
03302312,1
03304315,1
03304316,2
03305317,2
03306318,2
03307319,1
03308320,2
03309321,3
04401401,1
04401402,2
04402403,4
04402405,1
04405408,2
04405409,1
04405410,1
04405411,1
04405412,1
04406414,1
04407416,1
04407417,3
04408418,3
04408421,2
04408422,1
04408423,1
04410427,2
04410428,3
04410429,5
04411430,1
04412431,1
04413432,5
05501504,1
05502505,1
05502506,1
05502508,1
05503510,1
05503511,1
05506514,2
05507515,3
05508516,2
05511519,3
05518526,2
06601601,1
06602602,3
06602603,2
07701701,1
07701702,8
07714715,5
