id,points_of_interest
01101101,7
01101102,2
01102103,2
01103105,1
01103106,1
01103108,5
01104110,1
01104111,3
01104112,1
01105113,3
01105114,4
01107119,1
01108122,1
01108123,2
01108124,2
01108125,1
01111128,2
01111129,2
01112130,10
01114133,1
01115134,1
01116136,4
01116137,5
01120141,2
02201201,1
02201203,3
02201204,2
02201205,1
02202207,2
02203209,1
02203210,1
02204211,2
02204212,1
02204213,5
02205216,1
02205217,2
02206218,4
02207219,2
02208220,5
02209221,4
02210222,2
02211223,5
02211224,1
02213226,2
02214227,4
03301303,4
03301304,1
03301305,2
03301306,1
03301308,1
03301309,1
03301310,3
03302311,1
03302312,4
03303313,1
03303314,3
03304315,3
03305317,5
03306318,6
03307319,5
03308320,5
03309321,3
04401401,2
04402403,5
04402404,5
04403406,1
04404407,5
04405409,3
04405410,2
04405411,2
04405412,1
04405413,3
04406414,1
04406415,3
04407417,2
04408418,1
04408421,1
04408422,1
04408423,2
04409424,2
04409425,1
04410426,1
04410427,4
04410428,3
04410429,2
04411430,4
04412431,4
04413432,7
05501502,2
05502505,3
05502506,1
05502507,1
05502508,1
05502509,3
05503510,2
05504512,2
05505513,1
05506514,5
05507515,9
05508516,2
05509517,2
05510518,2
05511519,7
05512520,2
05513521,1
05514522,2
05516524,2
05517525,3
05518526,14
06601601,5
06602602,9
06602603,1
06605606,1
06606607,2
06614615,2
07701702,11
07704705,2
07706707,1
07708709,1
07709710,2
07710711,2
07713714,2
07714715,5
07716717,1
