id,points_of_interest
01102103,1
01103105,1
01104111,2
01104112,1
01105113,1
01107120,1
01114132,1
01115134,1
02201203,1
02203210,1
02204213,3
02205216,3
02207219,1
02209221,1
03301307,3
03301308,1
03302311,1
03303313,1
03306318,1
03309321,5
04404407,1
04405408,4
04405410,1
04405411,1
04408419,1
04408422,1
04409425,1
04410427,1
04410428,1
05501501,1
05501502,1
05502505,1
05502507,3
05502508,2
05504512,1
05505513,1
05508516,1
05511519,1
05518526,3
06601601,1
06602602,2
07702703,1
07708709,1
07710711,2
07714715,2
