id,name,street,zip_code,lat,lon,geojson_feature_id
432428690,Lange Reihe / Kirchenallee,,,53.5551998,10.0081877,01105114
432428691,Lange Reihe / Lohmühlenpark,,,53.55986,10.0148329,01105113
432841089,Eduard-Rhein-Ufer / Schwanenwik,,,53.567786,10.0162224,04406415
432965813,Neuer Pferdemarkt / Beim Grünen Jäger,,,53.5589371,9.9638791,02202207
432965814,Bahnhof Altona Ost / Max-Brauer-Allee,,,53.5520996,9.9360587,02203210
432965816,Bahnhof Altona / Busbahnhof,,,53.5519063,9.9337889,02204213
433713639,Fischmarkt / Breite Straße,,,53.5462439,9.9509483,02201201
436042897,Innocentiapark / Oberstraße,,,53.5774206,9.9818059,03303314
436043488,Goebenstraße / Eppendorfer Weg,,,53.5775726,9.9632428,03301305
436421052,Lerchenfeld / Uferstraße,,,53.5670342,10.0317432,04406415
437328900,S Reeperbahn / Königstraße,,,53.5494956,9.9550425,02201201
437331658,U St. Pauli / Millerntorplatz,,,53.5510436,9.9702937,01103106
437331659,Messehallen / Marktstraße,,,53.5585052,9.9753919,01104109
437331660,Universität / Moorweidenstraße,,,53.5637341,9.9877918,03302312
437331661,Universität / Schlüterstraße,,,53.5668597,9.9860491,03302312
437558649,Hauptbahnhof West / Glockengießer Wall,,,53.553676,10.004553,01105114
437558653,Bahnhof Dammtor / Theodor-Heuss-Platz,,,53.5615244,9.9903338,03302312
438112011,Bahnhof Dammtor / Dag-Hammarskjöld-Platz,,,53.5599977,9.9898989,01104109
438112012,Enckeplatz / Hütten,,,53.5524381,9.9769697,01103106
438353007,U Lohmühlenstraße / Steindamm,,,53.5572335,10.0199124,01105113
439178655,Steindamm / Stralsunder Straße,,,53.5542566,10.0133228,01105114
441097728,Mönckebergstraße / Steintorwall,,,53.5516263,10.0052878,01101101
441097729,Kurze Mühren / Spitalerstraße,,,53.5526184,10.0039022,01101101
441123075,U Kellinghusenstraße / Loogeplatz,,,53.5886426,9.9913213,04402404
441123077,Kümmellstraße / Robert-Koch-Straße,,,53.5902642,9.9867979,04402403
441123078,U Eppendorfer Baum / Isestraße,,,53.5831878,9.9843865,03303314
441243153,Grindelberg,,,53.5754102,9.9778746,03303313
441297373,S+U Berliner Tor / Beim Strohhause,,,53.5533379,10.0246127,01105113
442006757,S+U Sternschanze / Dänenweg,,,53.564472,9.9688152,02202207
442006775,Jungfernstieg / Neuer Jungfernstieg,,,53.5549978,9.9913836,01103108
443047986,Chemnitzstraße / Max-Brauer-Allee,,,53.5552896,9.942995,02201204
446760137,Kurt-Schumacher-Allee / Nagelsweg,,,53.551694,10.015996,01105114
447110699,Gustav-Mahler-Platz / Büschstraße,,,53.5562459,9.9901341,01103108
448582037,Zentralbibliothek / Münzstraße,,,53.5503806,10.0088105,01106115
448879782,Paulinenplatz / Wohlwillstraße,,,53.5542191,9.9625129,01104111
455878196,Kleine Rosenstraße / Gerhart-Hauptmann-Platz,,,53.5516175,9.9984001,01101101
455878296,Jakobikirchhhof / Steinstraße,,,53.550247,10.0015328,01101101
455878879,U Meßberg / Willy-Brandt-Straße,,,53.5478333,9.9988245,01101101
455879010,U Burgstraße / Hammer Landstraße,,,53.555728,10.041278,01108121
455879039,S Landwehr / Ramazan-Avci-Platz,,,53.5610672,10.0371237,04407417
455879231,U Wartenau / Lübecker Straße,,,53.563702,10.0342838,04407417
455879390,Lübecker Straße / Marienkrankenhaus,,,53.5597466,10.0285415,04407417
455879492,U Uhlandstraße / Eilenau,,,53.564994,10.0267664,04407417
455880479,S+U Landungsbrücken / Johannisbollwerk,,,53.5452274,9.9734899,01103105
455880789,Michaeliskirche / Krayenkamp,,,53.5480241,9.9794956,01103107
455882506,U Hallerstraße / Rothenbaumchaussee,,,53.5720753,9.9888332,03302312
455947046,Jarrestraße / Rambatzweg,,,53.5840442,10.0212233,04405411
455947727,Goldbekplatz,,,53.5837521,10.0099075,04405413
456349702,U Hudtwalckerstraße / Bebelallee,,,53.5943036,9.9957591,04405409
463552897,S Hammerbrook / Sachsenfeld,,,53.5460239,10.0242053,01106116
467926773,Ottenser Marktplatz / Platz der Republik,,,53.5478097,9.9345695,02204214
471332373,S Stadthausbrücke / Neuer Wall,,,53.5496995,9.9866348,01103108
471776643,S Königstraße / Struenseestraße,,,53.5471222,9.9424211,02201202
565607505,U Christuskirche / Fruchtallee,,,53.5695625,9.9630732,03301308
598300226,Martinistraße / Haupteingang Klinikum,,,53.5890071,9.975907,04402403
707060970,Eimsbütteler Straße / Waterloostraße,,,53.5662285,9.9534406,02203208
752741462,Axel-Springer-Platz / Wexstraße,,,53.5520196,9.986168,01103108
764042161,S Veddel / Wilhelmsburger Platz,,,53.522701,10.014741,01115134
1281711846,,,,53.6880061,10.0370776,0
1349140800,,,,53.7132127,10.0187442,0
