id,points_of_interest
01101101,7
01101102,3
01102103,5
01103105,1
01103106,1
01103107,1
01103108,4
01104109,1
01104110,1
01104111,3
01104112,3
01105113,1
01105114,1
01108122,1
01111129,1
01112130,1
01116137,2
01120141,1
02201204,1
02202207,7
02204212,2
02204213,4
02204214,1
02205216,1
02206218,1
02207219,3
02209221,1
02211223,3
02214227,1
03301301,1
03301302,1
03301303,2
03301306,2
03301307,1
03301310,1
03302311,1
03303313,1
03303314,1
03304315,3
03304316,1
03306318,1
03307319,1
04401401,3
04402404,2
04402405,1
04403406,1
04405411,1
04405413,2
04406415,1
04407416,1
04407417,1
04409424,1
04409425,1
04410427,4
04410428,2
04410429,1
04412431,1
05501501,1
05504512,1
05506514,2
05507515,4
05514522,1
05515523,1
05517525,1
05518526,3
06601601,1
06606607,1
06614615,1
07701701,1
07701702,7
07709710,3
07714715,3
