id,points_of_interest
01101101,78
01101102,60
01102103,44
01102104,27
01103105,23
01103106,16
01103107,22
01103108,76
01104109,11
01104110,7
01104111,10
01104112,15
01105113,20
01105114,43
01106115,20
01106116,12
01106117,38
01106118,4
01107119,9
01107120,4
01108121,5
01108122,8
01108123,1
01108124,6
01108125,1
01108126,1
01108127,5
01111128,2
01111129,5
01112130,9
01113131,6
01114132,7
01114133,5
01115134,20
01116135,1
01116136,12
01116137,65
01117138,3
01118139,4
01120141,6
02201201,3
02201202,14
02201203,25
02201204,8
02201205,3
02201206,7
02202207,11
02203208,8
02203209,10
02203210,16
02204211,24
02204212,3
02204213,12
02204214,13
02205215,24
02205216,27
02205217,97
02206218,6
02207219,13
02208220,10
02209221,11
02210222,3
02211223,12
02211224,1
02212225,1
02213226,2
02214227,11
03301301,8
03301302,6
03301303,11
03301304,3
03301305,6
03301306,8
03301307,4
03301308,3
03301309,9
03301310,9
03302311,15
03302312,26
03303313,12
03303314,8
03304315,5
03304316,7
03305317,23
03306318,27
03307319,7
03308320,32
03309321,20
04401401,14
04401402,2
04402403,55
04402405,6
04403406,10
04404407,29
04405408,27
04405409,10
04405410,12
04405411,7
04405412,3
04405413,10
04406414,13
04406415,14
04407416,9
04407417,9
04408418,4
04408419,8
04408420,4
04408421,8
04408422,8
04408423,6
04409424,14
04409425,2
04410426,11
04410427,19
04410428,5
04410429,11
04411430,8
04412431,9
04413432,32
05501501,11
05501502,2
05501503,12
05501504,2
05502505,7
05502506,1
05502507,20
05502508,4
05502509,9
05503510,8
05503511,3
05504512,1
05505513,19
05506514,9
05507515,23
05508516,12
05509517,7
05510518,16
05511519,17
05512520,10
05513521,1
05514522,1
05515523,1
05516524,1
05517525,4
05518526,17
06601601,22
06602602,23
06602603,3
06603604,1
06606607,2
06608609,1
06609610,3
06611612,1
06614615,2
07701701,28
07701702,66
07702703,2
07704705,4
07705706,1
07709710,7
07710711,35
07712713,2
07713714,11
07714715,7
