id,name,street,zip_code,lat,lon,geojson_feature_id
21627414,West See Palast,,,53.5207517,10.2770653,0
25745452,Schweinske,August-Krogmann-Straße 25,22159,53.6080733,10.1164404,05506514
29262146,Zollenspieker Fährhaus,Zollenspieker-Hauptdeich 141,21037,53.3989587,10.1852546,06606607
55104007,BLOCK HOUSE,Alte Elbgaustraße 9,22523,53.6067825,9.9030158,03308320
69150516,BLOCK HOUSE,Groten Hoff 12,22359,53.6476044,10.1642128,05517525
103602223,Glantz & Gloria,Hamburger Straße 2b,22941,53.7058481,10.2517314,0
170780405,Das Bauernhaus,Nansenstraße 82,,53.5805153,9.9055684,02205216
244134270,Oktober Harburg,Schloßmühlendamm 23,21073,53.463016,9.9815331,07701702
245564414,Hünkar,,,53.4622481,9.9819453,07701702
252537944,Casa Vecchia,,,53.4861811,10.2134134,06602602
253398267,Schweinske,Möllner Landstraße 2,22111,53.5394918,10.1040249,01112130
253659932,Taverna Metaxa,Straßburger Straße 23,22049,53.5817607,10.0633549,04409425
254446740,La Rucola,Volksdorfer Damm 188,22359,53.6696493,10.1429076,05516524
256044321,Paulaners,Großneumarkt 1,20459,53.5505024,9.9809707,01103107
256362586,Entourage - Grill Eventcenter Club,,,53.5995471,10.1558123,05518526
258521580,Spicy - Hotpot & Hunan cuisine 辣师傅,Lübecker Straße 133,22087,53.5636292,10.0333115,04407417
258521618,Schweinske,Lübecker Straße 84,22087,53.5610317,10.0312569,04407417
258527808,BLOCK HOUSE,Schloßstraße 48,,53.5715814,10.0699098,05503510
258962008,LüttLiv,Maurienstraße 19,22305,53.5857798,10.0449119,04410427
261041923,T.R.U.D.E.,Maurienstraße 13,22305,53.5850016,10.0450945,04410427
263906880,Herzstykke,Mühlenstraße 95,25499,53.6952819,9.8509227,0
266671332,Olympiade,Rugenbarg 18,,53.5749593,9.8472885,02209221
267622930,Ethio,Rothestraße 38,22765,53.549477,9.9274846,02204214
267623160,Trattoria Toscana,Holländische Reihe 25,22765,53.5475906,9.9292942,02204214
267624203,La Casita Azul,Spritzenplatz 4,22765,53.5512302,9.9307274,02204214
270901000,,,,53.6603171,9.7385467,0
271393344,Blaue Adria,Marckmannstraße 74,20539,53.5351344,10.0415824,01114133
272654230,Juan sin Miedo,Friedensallee 7-9,22765,53.5543814,9.9274966,02204213
272717405,Casino,,,53.5439736,9.8415381,01120141
272717465,Marché,,,53.5424727,9.8440744,01120141
272719780,Kantine,,,53.5447527,9.8383286,01120141
272723510,Bistro,,,53.5418369,9.8374524,01120141
273425544,Messologi,,,53.5815574,9.7635383,02214227
274262342,Rindocks,Lohbrügger Landstraße 119,21031,53.5028763,10.1930725,06601601
274349224,Haerlin,Neuer Jungfernstieg 9-14,20354,53.5557185,9.9916858,01103108
274951874,Najis Mittelmeer Bahnhof,,,53.469024,10.2778372,0
277050398,Piccolo Paradiso,Brüderstraße 27,20355,53.5514359,9.9809243,01103107
277504583,Restaurant Adria,Letzter Heller 21,22111,53.5447491,10.0895845,01111128
277790194,Orchideen Palast,Fuhlsbüttler Straße 236,22307,53.5966438,10.0435783,04410428
277800972,Maurizio,Berner Weg 31,22393,53.6496648,10.1176109,05510518
278487889,Kamiros,Fuhlsbüttler Straße 256,22307,53.5977583,10.0428056,04410428
280699564,Erikas Eck,Sternstraße 98,20357,53.5610678,9.9675684,02202207
280699565,La Sepia,Neuer Pferdemarkt 16,20359,53.5589306,9.9645671,02202207
280702772,Pamukkale Köz,Susannenstraße 35,20357,53.5624282,9.9634528,02202207
280702922,Souperia,Bartelsstraße 21,20357,53.5617024,9.9648113,02202207
280702925,Schanzenstern Bio-Restaurant,Kleine Rainstraße 24,22765,53.5536162,9.9302063,02204213
280709543,Hatari,Schanzenstraße 4,20357,53.5593936,9.9645183,02202207
280740265,Asia House,Schulterblatt 10,20357,53.5597713,9.9639605,02202207
282221637,Serways,,,53.6942525,10.3241986,0
282506264,Bamboo,,,53.5013399,10.07993,06611612
286289546,Schweinske,Eißendorfer Straße 95,21073,53.4580638,9.9676249,07709710
286450954,Viet No1,,21073,53.4602015,9.9757022,07701701
286660842,China-Restaurant Ming Dynastie,,,53.5728594,10.0635049,05502505
