id,points_of_interest
01101101,18
01101102,10
01102103,21
01102104,19
01103105,5
01103106,12
01103107,6
01103108,12
01104109,4
01104110,3
01104111,8
01104112,11
01105113,8
01105114,36
01106115,14
01106116,4
01106117,10
01106118,8
01107119,7
01107120,7
01108121,13
01108122,8
01108123,13
01108124,5
01108125,3
01108126,11
01108127,10
01111128,15
01111129,40
01112130,131
01113131,80
01114132,49
01114133,6
01115134,33
01116135,17
01116136,61
01116137,97
01117138,25
01118139,23
01119140,20
01120141,72
02201201,10
02201202,18
02201203,7
02201204,4
02201205,5
02201206,10
02202207,6
02203208,2
02203209,13
02203210,9
02204211,5
02204212,9
02204213,11
02204214,18
02205215,27
02205216,17
02205217,24
02206218,17
02207219,47
02208220,53
02209221,50
02210222,26
02211223,53
02211224,5
02212225,28
02213226,14
02214227,75
03301301,3
03301302,2
03301303,3
03301304,6
03301305,5
03301306,9
03301307,3
03301308,4
03301309,13
03301310,3
03302311,13
03302312,18
03303313,10
03303314,8
03304315,5
03304316,8
03305317,45
03306318,57
03307319,74
03308320,73
03309321,38
04401402,5
04402403,16
04402404,7
04402405,11
04403406,32
04404407,34
04405408,19
04405409,17
04405410,7
04405411,12
04405412,2
04405413,6
04406414,7
04406415,15
04407416,3
04407417,11
04408418,7
04408419,5
04408420,4
04408421,5
04408422,6
04408423,10
04409424,8
04409425,7
04410426,12
04410427,22
04410428,12
04410429,15
04411430,60
04412431,45
04413432,70
05501501,11
05501502,7
05501503,2
05501504,5
05502505,9
05502506,6
05502507,12
05502508,22
05502509,21
05503510,12
05503511,18
05504512,55
05505513,41
05506514,68
05507515,98
05508516,28
05509517,14
05510518,37
05511519,62
05512520,40
05513521,17
05514522,16
05515523,10
05516524,19
05517525,33
05518526,182
06601601,100
06602602,82
06602603,47
06603604,30
06604605,29
06605606,78
06606607,132
06607608,48
06608609,11
06609610,61
06610611,27
06611612,22
06612613,7
06613614,10
06614615,55
07701701,9
07701702,47
07702703,24
07703704,8
07704705,20
07705706,6
07706707,7
07707708,23
07708709,24
07709710,50
07710711,65
07711712,23
07712713,11
07713714,47
07714715,71
07715716,19
07716717,49
07717718,10
