id,points_of_interest
01101101,12
01101102,15
01102103,33
01102104,1
01103105,2
01103106,4
01103107,8
01103108,10
01104109,6
01104110,11
01104111,18
01104112,31
01105113,9
01105114,36
01106115,3
01106116,8
01106117,8
01106118,3
01107120,2
01108121,2
01108122,4
01108123,4
01108124,3
01108125,2
01108127,1
01111128,8
01111129,9
01112130,28
01114132,6
01114133,2
01115134,2
01116136,11
01116137,16
01120141,3
02201201,2
02201202,6
02201203,7
02201204,4
02201205,4
02201206,8
02202207,25
02203208,2
02203209,2
02203210,5
02204211,4
02204212,3
02204213,16
02204214,5
02205215,4
02205216,4
02205217,6
02206218,1
02208220,7
02209221,9
02210222,2
02211223,2
02213226,1
02214227,6
03301301,4
03301302,3
03301303,7
03301304,3
03301305,2
03301306,7
03301307,1
03301308,2
03301309,2
03301310,5
03302311,10
03302312,5
03303313,1
03303314,3
03304315,5
03304316,7
03305317,8
03306318,10
03307319,7
03308320,19
03309321,18
04401401,3
04401402,1
04402403,6
04402404,3
04402405,2
04403406,9
04404407,2
04405408,5
04405409,7
04405410,2
04405411,4
04405412,3
04405413,1
04406414,1
04406415,4
04407417,6
04408418,3
04408419,5
04408420,1
04408422,2
04408423,7
04409424,4
04409425,2
04410426,3
04410427,12
04410428,5
04410429,3
04411430,4
04412431,11
04413432,18
05501501,4
05501502,5
05501503,2
05501504,6
05502505,10
05502506,3
05502507,3
05502509,3
05503510,2
05504512,5
05505513,7
05506514,10
05507515,24
05508516,6
05510518,2
05511519,3
05512520,1
05514522,1
05516524,1
05517525,3
05518526,19
06601601,13
06602602,13
06602603,2
06604605,1
06605606,1
06606607,1
06611612,1
06614615,4
07701701,9
07701702,41
07704705,4
07707708,1
07709710,4
07710711,4
07713714,2
07714715,8
07716717,2
07717718,1
