id,name,street,zip_code,lat,lon,geojson_feature_id
277932850,Kieser Training,Krohnstieg 41,22415,53.6487772,10.0128702,04413432
277932851,Kieser Training,Kritenbarg 4,22391,53.6536763,10.0896006,05511519
277932852,Kieser Training,Winterhuder Marktplatz 6-7a,22299,53.5942372,10.0006659,04405409
277932870,Kieser Training,Weidenbaumsweg 139,21035,53.4815074,10.2001724,06602602
304490927,McFit,,,53.5938461,9.9241167,03309321
312427995,JOHN REED Fitness,Am Werder 1,21073,53.4627635,9.9834819,07701702
361140358,Kieser Training,Heußweg 37d,20255,53.5769159,9.950748,03301303
556010425,wellyou,Bismarckstraße 12,25421,53.6617008,9.8014427,0
778236536,McFIT,Kieler Straße 147,22769,53.5733626,9.9402729,03309321
831971781,Eisenhauer Training,Am Neumarkt 30,22041,53.5750745,10.0896165,05502508
928371756,McFit,Eiffestraße 664,20537,53.5496609,10.0657302,01108125
1337748595,Elan,Georg-Sasse-Straße 12,22949,53.6781321,10.1490654,0
1589271234,Holmes Place,,,53.5619181,9.9190842,02205216
1613188287,25 Minutes,,,53.5595898,9.8826147,02206218
1708446947,Lady Fitness Center,Schillerstraße 44,22767,53.5512307,9.9385573,02201203
1912192520,25Minutes,,,53.5547917,9.9807361,01103107
2144446964,ELB GYM,Gorch-Fock-Wall 3,20354,53.557723,9.9853068,01103108
2268142634,Hochschulsport Hamburg,,,53.5557365,10.0233955,01105113
2274544112,Mrs. Sporty,,,53.4725521,9.8492001,07714715
2652360954,FitX,Große Bergstraße 156,,53.5516753,9.9435666,02201203
2664230567,Well You,Curslacker Neuer Deich 44,21029,53.4809859,10.2071131,06602603
2867411651,Animo Studio,Müggenkampstraße 1,20257,53.579415,9.9455298,03301301
2909009109,youpila,,,53.5936039,9.9874776,04402403
3062745803,OHANA,Bäckerbreitergang 14,20355,53.5547506,9.9825407,01103108
3453832163,VIMODROM Hamburg Eppendorf,Hoheluftchaussee 60,20253,53.581658,9.9726787,03304315
3656262460,Fitness First,,,53.5536636,10.0037254,01101101
3656847908,FitX,Große Bergstraße 160,22767,53.5516941,9.9432454,02201203
3710411779,,Heußweg 98,20255,53.5794326,9.9561346,03301305
3711772874,Kieser Training,,,53.6318258,10.0059935,04412431
3791405160,omya,,,53.7315873,10.0834823,0
3896759457,McFit,Baurstraße 2,22605,53.5575355,9.9005613,02207219
3933531388,Fitness First,Rödingsmarkt 9,20459,53.548204,9.9873849,01101102
4060461686,Mrs. Sporty,,,53.6853769,9.987345,0
4062351848,Mudō Werkstatt,Weidenstieg 18,,53.5711217,9.960377,03301308
4086544768,FitX,Schwarzer Weg 28,22309,53.6079919,10.052494,05508516
4111266908,GORILLA GYM Hamburg,,,53.556741,9.9669329,01104111
4143215789,Clever Fit,,,53.4729729,9.8523813,07714715
4293785001,FitX,Röntgenstraße 28,22335,53.6233394,10.0163077,04411430
4360503652,Crunch Fit Fitnessstudio,,,53.6826452,9.9873588,0
4362103496,Raum für Bewegung und Stille,Pezolddamm 156,,53.6247856,10.1150093,05506514
4396100511,beneFit,Hörgensweg 5,22523,53.615311,9.905461,03308320
4427661183,form-fit,Cuxhavener Straße 293b,21149,53.4712443,9.8620166,07714715
4451845503,VitaShape,,,53.5570445,10.0218619,01105113
4453281366,Fitness First Hamburg - Alsterufer (ehemals ELBGYM),Warburgstraße 1-2,,53.5595227,9.9944017,03302312
4558787796,Fitness World,,,53.6090075,9.8416274,0
4581965977,Glückspilze,Habichtstraße 124,22307,53.5955884,10.0478005,04410428
4585504194,Praxis Wirkner-Thiel,,,53.5687912,10.0966096,05503511
4602711447,FitX,Schnackenburgallee 43 - 45,22525,53.5786196,9.917562,02205215
4639629789,SANBAO-Schule für Taichi und Qigong,,,53.5552337,9.9279659,02204213
4659594876,Villa Fit,Kaiser-Wilhelm-Allee 10,22926,53.668562,10.2468592,0
4760054204,Meridian Spa,Fuhlsbüttler Straße 405,22309,53.6038297,10.0394103,04410429
4843506123,Fitness First,Lüneburger Tor 8,21073,53.4591522,9.9841643,07701702
4845110621,Sportspaß,,,53.4597815,9.9844401,07701702
4845149344,EasyFitness,,,53.4642302,9.9858057,07701702
4845152878,Trust Gym,,,53.4615922,9.9850483,07701702
4860612046,McFit,,,53.562417,10.03131,04407417
4937565769,Tai Chi Schule Daniel Grolle,Eppendorfer Weg 64,20259,53.5729339,9.9604418,03301308
4951486023,Olympic Fitness,,,53.5569302,10.0192652,01105113
5037345747,CrossFit,Lotsestieg 6,,53.4674172,9.9861659,07701702
5128031001,Lorenzen Training,Holsteinischer Kamp 1,22081,53.5749745,10.0374418,04408422
5233553017,TSG Sportzentrum Bult,,,53.4877047,10.2169946,06602603
5262248222,On Stage Training Center,Krohnskamp 33,22301,53.5883082,10.0075793,04405410
5484681218,Fitness First,Gorch-Fock-Wall 1a,20354,53.5577907,9.9871859,01103108
5626998395,FitnessCenter-Niendorf,Krähenweg 9,22459,53.6330695,9.9552316,03306318
5764297924,CrossFit,,,53.5861407,10.0480097,04410427
5825121088,BOX1.Hamburg,Hamburger Straße 181,,53.5785773,10.0383738,04408421
5861050599,EMS Fitnessstudio fitbox,Fuhlsbüttler Straße 396,22309,53.6023012,10.0410891,04410429
5861133409,NAYOKi,Hartzlohplatz 17,22307,53.6028159,10.0456209,04410429
5899981751,gymaholic.de,,,53.5803677,10.042302,04408423
5901418253,beneFit,Überseering 32-34,22297,53.6028861,10.0165072,04405408
5914861524,Körperformen,Bramfelder Chaussee 239,22177,53.6131729,10.0749966,05507515
6125050116,Fitness First,Langenhorner Markt 1-18,22415,53.6500909,10.0132944,04413432
6130513084,EVO,Blankeneser Landstraße 2,,53.5633598,9.8121499,02211224
