id,points_of_interest
01101101,3
01101102,3
01102103,3
01102104,1
01103106,5
01103107,1
01103108,5
01104112,1
01105113,4
01105114,2
01106115,4
01106118,1
01107119,2
01111128,1
01111129,1
01112130,2
01115134,1
01116137,1
01120141,1
02201203,2
02201206,1
02202207,1
02203209,1
02204213,1
02204214,1
02205217,3
02206218,1
02207219,1
02209221,2
02210222,2
02211224,1
02214227,2
03301306,1
03301309,1
03302311,13
03302312,18
03305317,1
03307319,1
03308320,1
03309321,2
04401401,1
04402403,1
04405408,1
04405409,1
04405410,1
04406415,2
04407416,1
04408419,1
04408420,1
04408422,2
04410426,1
04410427,2
04410429,1
04411430,1
04413432,1
05502507,3
05504512,2
05506514,1
05507515,1
05508516,1
05511519,1
05517525,1
06601601,2
06602602,3
06605606,2
06614615,1
07701701,2
07701702,1
07710711,1
