id,lat,lon,name,street,zip_code,city
25699152,53.4709509,9.8528729,Markt Apotheke Neugraben,Marktpassage 7,21149,Hamburg
25699179,53.4591025,9.9814202,Schaefer Apotheke,Harburger Rathausstraße 37,21073,Hamburg
25699866,53.4736161,9.8757564,Striepenapotheke,,,
30831791,53.6088767,10.0104013,Hammer Apotheke,Alsterdorfer Straße 299,22297,Hamburg
30833737,53.6080269,10.0086537,Heubergredder Apotheke,Alsterdorfer Straße 284,22297,Hamburg
30960776,53.4718017,9.8534936,Ulen-Apotheke,Groot Enn 3,21149,Hamburg
32529008,53.4691138,9.8546768,Mühlen-Apotheke,Neugrabener Bahnhofstraße 33,21149,Hamburg
33411842,53.5953349,9.9984189,Michel-Apotheke,Alsterdorfer Straße 6,22299,Hamburg
33820698,53.4574023,9.986952,Apotheke im Marktkauf-Center,Seeveplatz 1,21073,Hamburg
36234584,53.4917147,10.0169965,Deich-Apotheke,Neuenfelder Straße 116,21109,Hamburg
59844782,53.6505658,10.1620006,Apotheke am Bahnhof Volksdorf,Farmsener Landstraße 189,,
68424427,53.6488109,10.1645751,Zur alten Schmiede,Im Alten Dorfe 23,22359,Hamburg
69150525,53.6479154,10.1640859,Post-Apotheke,Groten Hoff 12,22359,Hamburg
69420963,53.6725178,10.220899,West-Apotheke,Wulfsdorfer Weg 39,,
89964670,53.4745703,9.8759658,Neuwiedenthaler Apotheke,,,
244388981,53.5017299,9.9926168,Menge Apotheke,Reinstorfweg 10a,21107,Hamburg
249320708,53.588995,10.0757476,Phönix Apotheke,,,
253169335,53.572075,10.0662405,Adler-Apotheke,Wandsbeker Marktstraße 73,22041,Hamburg
253233025,53.5868599,10.1262452,Herz-Apotheke,,,
253377768,53.5807338,10.0796936,Holzmühlen-Apotheke,Walddörferstraße 146,22041,Hamburg
253393376,53.5924409,10.0760192,Gartenstadt-Apotheke,Lesserstraße 162,22049,Hamburg
253620348,53.5822914,10.0681232,Straßburger Apotheke,,,
253705473,53.6066313,10.0022442,Bienen-Apotheke,,,
254432119,53.5976365,10.1020193,Centra Apotheke,Traberweg 2-4,22159,Hamburg
254446384,53.6698321,10.143487,Heide-Apotheke,,,
254475771,53.5809795,10.0627117,Dulsberg-Apotheke,Straßburger Straße 28,22049,Hamburg
255911657,53.6281308,10.0242117,Spitzweg-Apotheke,Erdkampsweg 31,22335,Hamburg
255911666,53.6300007,10.0225418,Punkt Apotheke,Erdkampsweg 52,22335,Hamburg
258829576,53.5874681,10.0496137,Drossel Apotheke,Drosselstraße 1,22305,Hamburg
