id,lat,lon,name,street,zip_code,city
60568486,53.5676653,9.9820359,Abaton-Kino,Allende-Platz 3,20146,Hamburg
257143331,53.5882763,10.0973001,UCI Kinowelt Wandsbek,Friedrich-Ebert-Damm 134,22047,Hamburg
270082988,53.5540417,9.9274018,zeise kinos,Friedensallee 7,22765,Hamburg
287549673,53.5590612,9.8111413,Blankeneser Kino,Blankeneser Bahnhofstraße 4,22587,Hamburg
300548397,53.5771275,9.976742,Holi Hamburg,Schlankreye 69,20144,Hamburg
315077757,53.5728256,9.8508813,Elbe Kino,Osdorfer Landstraße 198,22549,Hamburg
339678632,53.7278265,10.2588749,Cinema Paradiso,,,
371668925,53.5832208,10.0206819,Alabama Kino,Jarrestraße 20,22303,Hamburg
391511815,53.7213492,9.9018773,Beluga Kino,Güttloh 1-5,25451,Quickborn
530267755,53.5997328,10.0040158,Magazin Filmkunsttheater,Fiefstücken 8a,22299,Hamburg
536391111,53.55412,10.0141718,Savoy Filmtheater,Steindamm 54,20099,Hamburg
606354360,53.7076918,9.9902499,Kino-Center Spectrum,Rathausallee 72,22846,Norderstedt
1286694022,53.5798461,9.9425757,der FilmRaum,Müggenkampstraße 45,20257,Hamburg
1356135344,53.554379,9.9612601,B-Movie,,,
1532901069,53.5562701,9.9888997,Metropolis Kino,Kleine Theaterstraße 10,20354,Hamburg
1590594532,53.5562813,9.9328896,Lichtmess,Gaußstraße 25,22765,Hamburg
1655188608,53.4643522,9.7996404,Das Kino,Hauptstraße 32,21629,Neu Wulmstorf
1772698012,53.5504859,9.9983815,Passage Kino Hamburg,Mönckebergstraße 17,20095,Hamburg
2070279511,53.5573124,9.9583412,Studio-Kino,Bernstorffstraße 93,22767,Hamburg
2589585535,53.4934078,10.2073693,Hansa-Filmstudio,,,
3744624378,53.5774291,10.0820421,Sexy Wonderland,,,
4692779544,53.5501105,9.960312,Gay-Kino Hamburg,,,
4785007121,53.5622726,9.9608994,SchanzenKino 73,Schulterblatt 73,20357,Hamburg
6098801784,53.5433365,9.9954814,ASTOR Film Lounge HafenCity,Am Sandtorkai 46a,20457,Hamburg
6543380855,53.4570285,9.9852184,CinemaxX,Moorstraße 1,21073,Hamburg
11336831431,53.5502431,9.9611017,Kino No. 5,,,
11336831432,53.5499635,9.9615146,Erotixx,,,
11336831433,53.5503119,9.9627685,Sparta Junior,,,
12731624794,53.5396982,9.9989509,Kinopolis,,,
12739533534,53.5709583,10.0277721,UCI Kinowelt Mundsburg,Hamburger Straße 1-15,22083,Hamburg
